"season","full_season_or_back_to_back","games_played","wins","losses","win_pct","avg_points","avg_fgm","avg_fga","fg_pct","avg_fgm3","avg_fga3","fg3_pct","avg_ftm","avg_fta","ft_pct","avg_oreb","avg_dreb","avg_reb","avg_ast","avg_stl","avg_blk","avg_pf","avg_to","avg_pts_paint","avg_pts_to","avg_pts_ch2","avg_pts_fastb","avg_pts_bench"
"2019 - 2020","Full Season","28","23","5","0.821","71.7","25.3","56.4","0.449","7.6","22.7","0.336","13.4","18.2","0.737","11.7","31.3","42.9","14.0","5.1","3.2","18.1","16.5","32.4","11.3","11.3","5.9","19.3"
"2019 - 2020","Second Day B2B","10","9","1","0.900","72.3","25.8","55.8","0.462","8.0","22.1","0.362","12.7","16.4","0.774","11.7","30.1","41.8","14.4","4.1","3.3","17.5","16.6","33.6","10.6","11.9","4.7","16.6"
"2021 - 2022","Full Season","26","12","14","0.462","73.3","27.2","61.0","0.446","6.7","21.7","0.309","12.2","17.3","0.706","11.7","27.9","39.5","12.5","5.1","2.7","18.5","15.3","35.8","12.4","11.8","8.2","28.0"
"2021 - 2022","Second Day B2B","7","4","3","0.571","72.6","27.6","59.1","0.466","7.0","20.9","0.336","10.4","14.1","0.737","8.9","26.3","35.1","12.7","5.1","2.7","16.0","13.7","36.6","12.3","10.6","7.0","29.0"
"2022 - 2023","Full Season","27","17","10","0.630","73.9","27.4","58.5","0.468","6.6","19.8","0.333","12.5","19.6","0.639","12.1","28.3","40.4","14.0","4.1","2.0","16.9","13.1","37.7","10.3","11.2","3.1","18.3"
"2022 - 2023","Second Day B2B","9","7","2","0.778","73.2","26.1","54.0","0.484","6.1","17.0","0.359","14.9","22.7","0.657","11.3","28.3","39.7","12.6","4.2","1.6","17.9","14.6","36.9","10.3","11.1","3.4","19.4"
"2023 - 2024","Full Season","28","22","6","0.786","71.0","25.7","58.9","0.436","5.3","16.7","0.316","14.4","20.2","0.713","11.7","26.4","38.1","10.8","6.8","3.1","15.4","11.7","34.4","13.5","11.3","7.1","20.0"
"2023 - 2024","Second Day B2B","9","7","2","0.778","72.2","25.3","57.9","0.438","5.2","15.8","0.331","16.3","24.2","0.674","12.2","25.6","37.8","10.0","5.8","2.2","15.3","10.6","34.2","15.7","12.2","7.6","22.6"
"2024 - 2025","Full Season","26","16","10","0.615","69.0","25.2","59.5","0.424","6.8","20.5","0.334","11.7","19.1","0.613","11.0","26.6","37.7","12.5","8.0","3.5","17.2","11.9","32.2","14.5","11.8","9.0","21.8"
"2024 - 2025","Second Day B2B","9","6","3","0.667","72.4","25.8","61.6","0.419","6.1","18.9","0.324","14.8","21.6","0.686","11.0","26.0","37.0","12.3","8.6","2.7","17.6","10.7","34.7","13.4","13.6","10.1","25.0"
