"game_date","game_id","start_time","location","attendance","home_team_id","home_team_name","away_team_id","away_team_name","season"
"2019-11-13","HOB - NYU","7:00 PM","Sportsplex, New York, NY",328,"NYU","NYU","HOB","Hobart","2019 - 2020"
"2019-11-19","HOB - BRO","5:30 PM","Jim and John Vlogianitis Gym, Brockport, NY",387,"BRO","Brockport","HOB","Hobart","2019 - 2020"
"2019-11-22","BW - HOB","7:00 PM","Bristol Gym, Geneva, NY",178,"HOB","Hobart","BW","Baldwin Wallace","2019 - 2020"
"2019-11-26","ROC - HOB","8:00 PM","Bristol Gym, Geneva, NY",232,"HOB","Hobart","ROC ","Rochester (NY)","2019 - 2020"
"2019-12-03","SJF - HOB","7:00 PM","Bristol Gym, Geneva, NY",250,"HOB","Hobart","SJF","St. John Fisher","2019 - 2020"
"2019-12-06","HOB - SKD","7:30 PM","Williamson Sports & Recreation Center, Saratoga Springs, NY",695,"SKD","Skidmore","HOB","Hobart","2019 - 2020"
"2019-12-07","HOB - BRD","4:00 PM","Stevenson Athletic Center, Annandale-on-Hudson, NY",85,"BRD","Bard","HOB","Hobart","2019 - 2020"
"2019-12-10","UNI - HOB","6:00 PM","Bristol Gym, Geneva, NY",164,"HOB","Hobart","UNI","Union","2019 - 2020"
"2020-01-04","URS - HOB","7:00 PM","Franny Murray Court, Washington, DC",245,"HOB","Hobart","URS","Ursinus","2019 - 2020"
"2020-01-05","HOB - CAT","7:00 PM","Franny Murray Court, Washington, DC",0,"CAT","Catholic","HOB","Hobart","2019 - 2020"
"2020-01-10","HOB - RIT","7:30 PM","Clark Memorial Gymnasium, Rochester, NY",104,"RIT","RIT","HOB","Hobart","2019 - 2020"
"2020-01-11","HOB - ITH","4:00 PM","Ben Light Gymnasium, Ithaca, NY",274,"ITH","Ithaca","HOB","Hobart","2019 - 2020"
"2020-01-14","HOB - UNI","8:00 PM","Viniar Athletic Center, Schenectady, NY",257,"UNI","Union","HOB","Hobart","2019 - 2020"
"2020-01-17","VAS - HOB","7:30 PM","Bristol Gym, Geneva, NY",150,"HOB","Hobart","VAS","Vassar","2019 - 2020"
"2020-01-18","RPI - HOB","4:00 PM","Bristol Gym, Geneva, NY",100,"HOB","Hobart","RPI","Rensselaer","2019 - 2020"
"2020-01-24","HOB - CLK","7:30 PM","Alumni Gymnasium (Clarkson), Potsdam, NY",100,"CLK","Clarkson","HOB","Hobart","2019 - 2020"
"2020-01-25","HOB - SLU","4:00 PM","Burkman Gymnasium, Canton, NY",269,"SLU","St. Lawrence","HOB","Hobart","2019 - 2020"
"2020-01-31","ITH - HOB","7:30 PM","Bristol Gym, Geneva, NY",450,"HOB","Hobart","ITH","Ithaca","2019 - 2020"
"2020-02-01","RIT - HOB","4:00 PM","Bristol Gym, Geneva, NY",328,"HOB","Hobart","RIT","RIT","2019 - 2020"
"2020-02-07","SLU - HOB","7:30 PM","Bristol Gym, Geneva, NY",236,"HOB","Hobart","SLU","St. Lawrence","2019 - 2020"
"2020-02-08","CLK - HOB","4:00 PM","Bristol Gym, Geneva, NY",450,"HOB","Hobart","CLK","Clarkson","2019 - 2020"
"2020-02-14","HOB - RPI","7:30 PM","ECAV Arena, Troy, NY",172,"RPI","Rensselaer","HOB","Hobart","2019 - 2020"
"2020-02-15","HOB - VAS","4:00 PM","Athletic & Fitness Center, Arlington, NY",229,"VAS","Vassar","HOB","Hobart","2019 - 2020"
"2020-02-21","BRD - HOB","7:30 PM","Bristol Gym, Geneva, NY",500,"HOB","Hobart","BRD","Bard","2019 - 2020"
"2020-02-22","SKD - HOB","4:00 PM","Bristol Gym, Geneva, NY",600,"HOB","Hobart","SKD","Skidmore","2019 - 2020"
"2020-02-29","ITH - HOB","4:30 PM","ECAV Arena, Troy, NY",175,"HOB","Hobart","ITH","Ithaca","2019 - 2020"
"2020-03-06","USJ - HOB","5:00 PM","Blake Arena, Springfield, MA",750,"HOB","Hobart","USJ","Saint Joseph (CT)","2019 - 2020"
"2020-03-07","HOB - SPR","7:30 PM","Blake Arena, Springfield, MA",1500,"SPR","Springfield","HOB","Hobart","2019 - 2020"
"2021-11-06","HOB - KEU","2:00 PM","Bristol Gym, Geneva, NY",213,"KEU","Keuka","HOB","Hobart","2021 - 2022"
"2021-11-12","SPL - HOB","5:30 PM","Dewar Arena, Oneonta, NY",45,"HOB","Hobart","SPL","SUNY Poly","2021 - 2022"
"2021-11-13","HOB - OSW","4:00 PM","Max Ziel Gymnasium, Oswego, NY",208,"OSW","Oswego St.","HOB","Hobart","2021 - 2022"
"2021-11-16","BRO - HOB","7:00 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","BRO","Brockport","2021 - 2022"
"2021-11-20","NYU - HOB","2:00 PM","Bristol Gym, Geneva, NY",187,"HOB","Hobart","NYU","NYU","2021 - 2022"
"2021-11-23","HOB - ROC","8:00 PM","Louis Alexander Palestra, Rochester, NY",220,"ROC ","Rochester (NY)","HOB","Hobart","2021 - 2022"
"2021-11-30","HOB - SJF","7:00 PM","Manning-Napier Varsity Gym, Rochester, NY",603,"SJF","St. John Fisher","HOB","Hobart","2021 - 2022"
"2021-12-03","HOB - RPI","7:30 PM","ECAV Arena, Troy, NY",103,"RPI","Rensselaer","HOB","Hobart","2021 - 2022"
"2021-12-04","HOB - VAS","4:00 PM","Athletic & Fitness Center, Arlington, NY",200,"VAS","Vassar","HOB","Hobart","2021 - 2022"
"2022-01-08","HOB - ITH","4:00 PM","Ben Light Gymnasium, Ithaca, NY",95,"ITH","Ithaca","HOB","Hobart","2021 - 2022"
"2022-01-15","UNI - HOB","4:00 PM","Bristol Gym, Geneva, NY",225,"HOB","Hobart","UNI","Union","2021 - 2022"
"2022-01-18","SKD - HOB","2:00 PM","Bristol Gym, Geneva, NY",150,"HOB","Hobart","SKD","Skidmore","2021 - 2022"
"2022-01-25","HOB - RIT","7:30 PM","Clark Memorial Gymnasium, Rochester, NY",105,"RIT","RIT","HOB","Hobart","2021 - 2022"
"2022-01-28","ITH - HOB","7:30 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","ITH","Ithaca","2021 - 2022"
"2022-01-29","RIT - HOB","4:00 PM","Bristol Gym, Geneva, NY",250,"HOB","Hobart","RIT","RIT","2021 - 2022"
"2022-02-01","HOB - SKD","7:30 PM","Williamson Sports & Recreation Center, Saratoga Springs, NY",145,"SKD","Skidmore","HOB","Hobart","2021 - 2022"
"2022-02-04","SLU - HOB","7:30 PM","Bristol Gym, Geneva, NY",500,"HOB","Hobart","SLU","St. Lawrence","2021 - 2022"
"2022-02-05","CLK - HOB","4:00 PM","Bristol Gym, Geneva, NY",450,"HOB","Hobart","CLK","Clarkson","2021 - 2022"
"2022-02-08","HOB - SLU","6:00 PM","Burkman Gymnasium, Canton, NY",104,"SLU","St. Lawrence","HOB","Hobart","2021 - 2022"
"2022-02-09","HOB - CLK","1:00 PM","Alumni Gymnasium (Clarkson), Potsdam, NY",34,"CLK","Clarkson","HOB","Hobart","2021 - 2022"
"2022-02-11","HOB - UNI","7:30 PM","Viniar Athletic Center, Schenectady, NY",241,"UNI","Union","HOB","Hobart","2021 - 2022"
"2022-02-12","HOB - BRD","4:00 PM","Stevenson Athletic Center, Annandale-on-Hudson, NY",165,"BRD","Bard","HOB","Hobart","2021 - 2022"
"2022-02-15","BRD - HOB","7:30 PM","Bristol Gym, Geneva, NY",150,"HOB","Hobart","BRD","Bard","2021 - 2022"
"2022-02-18","VAS - HOB","7:30 PM","Bristol Gym, Geneva, NY",550,"HOB","Hobart","VAS","Vassar","2021 - 2022"
"2022-02-19","RPI - HOB","4:00 PM","Bristol Gym, Geneva, NY",400,"HOB","Hobart","RPI","Rensselaer","2021 - 2022"
"2022-02-22","HOB - VAS","7:00 PM","Athletic & Fitness Center, Arlington, NY",195,"VAS","Vassar","HOB","Hobart","2021 - 2022"
"2022-11-08","SJF - HOB","7:00 PM","Bristol Gym, Geneva, NY",624,"HOB","Hobart","SJF","St. John Fisher","2022 - 2023"
"2022-11-11","HOB - OSW","7:00 PM","Geissler Gymnasium, Willimantic, Conn.",100,"OSW","Oswego State","HOB","Hobart","2022 - 2023"
"2022-11-12","HOB - ANM","12:00 PM","Geissler Gymnasium, Willimantic, Conn.",100,"ANM","Anna Maria","HOB","Hobart","2022 - 2023"
"2022-11-16","HOB - BRO","6:30 PM","Jim and John Vlogianitis Gym, Brockport, NY",278,"BRO","Brockport","HOB","Hobart","2022 - 2023"
"2022-11-19","SKD - HOB","2:00 PM","Bristol Gym, Geneva, NY",444,"HOB","Hobart","SKD","Skidmore","2022 - 2023"
"2022-11-22","ROC - HOB","8:00 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","ROC ","Rochester (NY)","2022 - 2023"
"2022-11-29","KEU - HOB","7:00 PM","Bristol Gym, Geneva, NY",350,"HOB","Hobart","KEU","Keuka","2022 - 2023"
"2022-12-02","RPI - HOB","7:30 PM","Bristol Gym, Geneva, NY",444,"HOB","Hobart","RPI","Rensselaer","2022 - 2023"
"2022-12-03","VAS - HOB","4:00 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","VAS","Vassar","2022 - 2023"
"2022-12-14","HOB - BW","3:00 PM","Ursprung Gymnasium, Berea, OH",124,"BW","Baldwin Wallace","HOB","Hobart","2022 - 2023"
"2023-01-06","RIT - HOB","7:30 PM","Bristol Gym, Geneva, NY",232,"HOB","Hobart","RIT","RIT","2022 - 2023"
"2023-01-07","ITH - HOB","4:00 PM","Bristol Gym, Geneva, NY",555,"HOB","Hobart","ITH","Ithaca","2022 - 2023"
"2023-01-10","HOB - SKD","5:00 PM","Williamson Sports & Recreation Center, Saratoga Springs, NY",170,"SKD","Skidmore","HOB","Hobart","2022 - 2023"
"2023-01-13","HOB - BRD","7:30 PM","Stevenson Athletic Center, Annandale-on-Hudson, NY",125,"BRD","Bard","HOB","Hobart","2022 - 2023"
"2023-01-14","HOB - UNI","4:00 PM","Viniar Athletic Center, Schenectady, NY",201,"UNI","Union","HOB","Hobart","2022 - 2023"
"2023-01-20","CLK - HOB","7:30 PM","Bristol Gym, Geneva, NY",333,"HOB","Hobart","CLK","Clarkson","2022 - 2023"
"2023-01-21","SLU - HOB","4:00 PM","Bristol Gym, Geneva, NY",555,"HOB","Hobart","SLU","St. Lawrence","2022 - 2023"
"2023-01-27","HOB - ITH","7:30 PM","Ben Light Gymnasium, Ithaca, NY",259,"ITH","Ithaca","HOB","Hobart","2022 - 2023"
"2023-01-28","HOB - RIT","4:00 PM","Clark Memorial Gymnasium, Rochester, NY",165,"RIT","RIT","HOB","Hobart","2022 - 2023"
"2023-02-03","HOB - SLU","7:30 PM","Burkman Gymnasium, Canton, NY",263,"SLU","St. Lawrence","HOB","Hobart","2022 - 2023"
"2023-02-04","HOB - CLK","4:00 PM","Alumni Gymnasium (Clarkson), Potsdam, NY",100,"CLK","Clarkson","HOB","Hobart","2022 - 2023"
"2023-02-10","UNI - HOB","7:30 PM","Bristol Gym, Geneva, NY",434,"HOB","Hobart","UNI","Union","2022 - 2023"
"2023-02-11","BRD - HOB","4:00 PM","Bristol Gym, Geneva, NY",600,"HOB","Hobart","BRD","Bard","2022 - 2023"
"2023-02-17","HOB - VAS","7:30 PM","Athletic & Fitness Center, Arlington, NY",150,"VAS","Vassar","HOB","Hobart","2022 - 2023"
"2023-02-18","HOB - RPI","4:00 PM","ECAV Arena, Troy, NY",180,"RPI","Rensselaer","HOB","Hobart","2022 - 2023"
"2023-02-21","VAS - HOB","7:00 PM","Bristol Gym, Geneva, NY",777,"HOB","Hobart","VAS","Vassar","2022 - 2023"
"2023-02-24","HOB - SLU","7:00 PM","Burkman Gymnasium, Canton, NY",453,"SLU","St. Lawrence","HOB","Hobart","2022 - 2023"
"2023-11-08","HOB - SJF","7:00 PM","Manning-Napier Varsity Gym, Rochester, NY",0,"SJF","St. John Fisher","HOB","Hobart","2023 - 2024"
"2023-11-11","MOR - HOB","7:00 PM","Bristol Gym, Geneva, NY",487,"HOB","Hobart","MOR","SUNY Morrisville","2023 - 2024"
"2023-11-14","BRO - HOB","7:30 PM","Bristol Gym, Geneva, NY",284,"HOB","Hobart","BRO","Brockport","2023 - 2024"
"2023-11-21","HOB - ROC","8:00 PM","Louis Alexander Palestra, Rochester, NY",174,"ROC ","Rochester (NY)","HOB","Hobart","2023 - 2024"
"2023-12-01","HOB - UNI","7:30 PM","Viniar Athletic Center, Schenectady, NY",231,"UNI","Union","HOB","Hobart","2023 - 2024"
"2023-12-02","HOB - VAS","4:00 PM","Athletic & Fitness Center, Arlington, NY",132,"VAS","Vassar","HOB","Hobart","2023 - 2024"
"2023-12-09","RPI - HOB","4:00 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","RPI","Rensselaer","2023 - 2024"
"2023-12-19","WELL - HOB","2:00 PM","Bristol Gym, Geneva, NY",150,"HOB","Hobart","WELL","Wells","2023 - 2024"
"2023-12-28","IMMA - HOB","4:00 PM","Ocean Center, Daytona Beach, Fla.",0,"HOB","Hobart","IMMA","Immaculata","2023 - 2024"
"2023-12-29","HOB - STS","8:00 PM","Ocean Center, Daytona Beach, Fla.",0,"STS","St. Scholastica","HOB","Hobart","2023 - 2024"
"2024-01-05","HOB - RIT","7:30 PM","Clark Memorial Gymnasium, Rochester, NY",205,"RIT","RIT","HOB","Hobart","2023 - 2024"
"2024-01-06","HOB - ITH","4:00 PM","Ben Light Gymnasium, Ithaca, NY",72,"ITH","Ithaca","HOB","Hobart","2023 - 2024"
"2024-01-12","BRD - HOB","7:30 PM","Bristol Gym, Geneva, NY",175,"HOB","Hobart","BRD","Bard","2023 - 2024"
"2024-01-13","SKD - HOB","4:00 PM","Bristol Gym, Geneva, NY",225,"HOB","Hobart","SKD","Skidmore","2023 - 2024"
"2024-01-16","HOB - RPI","7:30 PM","ECAV Arena, Troy, NY",165,"RPI","Rensselaer","HOB","Hobart","2023 - 2024"
"2024-01-19","HOB - SLU","7:30 PM","Burkman Gymnasium, Canton, NY",289,"SLU","St. Lawrence","HOB","Hobart","2023 - 2024"
"2024-01-20","HOB - CLK","4:00 PM","Alumni Gymnasium (Clarkson), Potsdam, NY",189,"CLK","Clarkson","HOB","Hobart","2023 - 2024"
"2024-01-26","ITH - HOB","7:30 PM","Bristol Gym, Geneva, NY",444,"HOB","Hobart","ITH","Ithaca","2023 - 2024"
"2024-01-27","RIT - HOB","4:00 PM","Bristol Gym, Geneva, NY",399,"HOB","Hobart","RIT","RIT","2023 - 2024"
"2024-02-02","CLK - HOB","7:30 PM","Bristol Gym, Geneva, NY",502,"HOB","Hobart","CLK","Clarkson","2023 - 2024"
"2024-02-03","SLU - HOB","4:00 PM","Bristol Gym, Geneva, NY",567,"HOB","Hobart","SLU","St. Lawrence","2023 - 2024"
"2024-02-09","HOB - SKD","7:30 PM","Williamson Sports & Recreation Center, Saratoga Springs, NY",1140,"SKD","Skidmore","HOB","Hobart","2023 - 2024"
"2024-02-10","HOB - BRD","4:00 PM","Stevenson Athletic Center, Annandale-on-Hudson, NY",180,"BRD","Bard","HOB","Hobart","2023 - 2024"
"2024-02-16","VAS - HOB","7:30 PM","Bristol Gym, Geneva, NY",498,"HOB","Hobart","VAS","Vassar","2023 - 2024"
"2024-02-17","UNI - HOB","4:00 PM","Bristol Gym, Geneva, NY",433,"HOB","Hobart","UNI","Union","2023 - 2024"
"2024-02-23","RIT - HOB","7:00 PM","Bristol Gym, Geneva, NY",987,"HOB","Hobart","RIT","RIT","2023 - 2024"
"2024-02-25","SLU - HOB","2:00 PM","Bristol Gym, Geneva, NY",1322,"HOB","Hobart","SLU","St. Lawrence","2023 - 2024"
"2024-03-01","HOB - CNU","5:10 PM","Schwartz Center, Chester, PA",315,"CNU","Chris. Newport","HOB","Hobart","2023 - 2024"
"2024-11-09","HOB - YORK","3:00 PM","Wolf Gymnasium, York, Pa. ",420,"YORK","York","HOB","Hobart","2024 - 2025"
"2024-11-13","SJF - HOB","7:00 PM","Bristol Gym, Geneva, NY",478,"HOB","Hobart","SJF","St. John Fisher","2024 - 2025"
"2024-11-19","HOB - RPI","7:00 PM","ECAV Arena, Troy, NY",325,"RPI","Rensselaer","HOB","Hobart","2024 - 2025"
"2024-11-22","KEU - HOB","5:30 PM","Bristol Gym, Geneva, NY",387,"HOB","Hobart","KEU","Keuka","2024 - 2025"
"2024-11-23","PSUB - HOB","5:15 PM","Bristol Gym, Geneva, NY",557,"HOB","Hobart","PSUB","Penn St.-Behrend","2024 - 2025"
"2024-11-26","ROC - HOB","8:00 PM","Bristol Gym, Geneva, NY",327,"HOB","Hobart","ROC ","Rochester (NY)","2024 - 2025"
"2024-12-06","UNI - HOB","7:30 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","UNI","Union","2024 - 2025"
"2024-12-07","VAS - HOB","4:00 PM","Bristol Gym, Geneva, NY",198,"HOB","Hobart","VAS","Vassar","2024 - 2025"
"2024-12-16","HOB - UTC","2:00 PM","Clark Athletic Center, Utica, NY",137,"UTC","Utica","HOB","Hobart","2024 - 2025"
"2024-12-30","HOB - MTIME","2:00 PM","Riesenberg Gymnasium, Throggs Neck, NY",213,"MTIME","SUNY Maritime","HOB","Hobart","2024 - 2025"
"2025-01-04","RPI - HOB","4:00 PM","Bristol Gym, Geneva, NY",222,"HOB","Hobart","RPI","Rensselaer","2024 - 2025"
"2025-01-10","RIT - HOB","7:30 PM","Bristol Gym, Geneva, NY",222,"HOB","Hobart","RIT","RIT","2024 - 2025"
"2025-01-11","ITH - HOB","4:00 PM","Bristol Gym, Geneva, NY",300,"HOB","Hobart","ITH","Ithaca","2024 - 2025"
"2025-01-17","HOB - BRD","7:30 PM","Stevenson Athletic Center, Annandale-on-Hudson, NY",100,"BRD","Bard","HOB","Hobart","2024 - 2025"
"2025-01-18","HOB - SKD","4:00 PM","Williamson Sports & Recreation Center, Saratoga Springs, NY",280,"SKD","Skidmore","HOB","Hobart","2024 - 2025"
"2025-01-24","SLU - HOB","7:30 PM","Bristol Gym, Geneva, NY",543,"HOB","Hobart","SLU","St. Lawrence","2024 - 2025"
"2025-01-25","CLK - HOB","4:00 PM","Bristol Gym, Geneva, NY",422,"HOB","Hobart","CLK","Clarkson","2024 - 2025"
"2025-01-31","HOB - ITH","7:30 PM","Ben Light Gymnasium, Ithaca, NY",142,"ITH","Ithaca","HOB","Hobart","2024 - 2025"
"2025-02-01","HOB - RIT","4:15 PM","Clark Memorial Gymnasium, Rochester, NY",287,"RIT","RIT","HOB","Hobart","2024 - 2025"
"2025-02-07","HOB - CLK","7:30 PM","Alumni Gymnasium (Clarkson), Potsdam, NY",99,"CLK","Clarkson","HOB","Hobart","2024 - 2025"
"2025-02-08","HOB - SLU","4:00 PM","Burkman Gymnasium, Canton, NY",333,"SLU","St. Lawrence","HOB","Hobart","2024 - 2025"
"2025-02-14","SKD - HOB","7:30 PM","Bristol Gym, Geneva, NY",333,"HOB","Hobart","SKD","Skidmore","2024 - 2025"
"2025-02-15","BRD - HOB","4:00 PM","Bristol Gym, Geneva, NY",222,"HOB","Hobart","BRD","Bard","2024 - 2025"
"2025-02-21","HOB - VAS","7:30 PM","Athletic & Fitness Center, Arlington, NY",139,"VAS","Vassar","HOB","Hobart","2024 - 2025"
"2025-02-22","HOB - UNI","4:00 PM","Viniar Athletic Center, Schenectady, NY",248,"UNI","Union","HOB","Hobart","2024 - 2025"
"2025-02-25","HOB - UNI","7:00 PM","Viniar Athletic Center, Schenectady, NY",558,"UNI","Union","HOB","Hobart","2024 - 2025"
