"game_date","game_id","team_id","team_name","is_home","points","fgm","fga","fgm3","fga3","ftm","fta","oreb","dreb","treb","ast","stl","blk","pf","turnovers","pts_paint","pts_to","pts_ch2","pts_fastb","pts_bench","season","is_win"
"2020-01-17","VAS-HOB","HOB","Hobart",1,78,27,60,9,25,15,18,15,31,46,18,4,4,14,11,36,7,12,2,20,"2019 - 2020",1
"2020-01-18","RPI-HOB","RPI","Rensselaer","",65,25,57,6,20,9,13,8,23,31,12,14,2,11,8,36,21,14,4,17,"2019 - 2020",1
"2020-01-18","RPI-HOB","HOB","Hobart",1,53,22,55,3,24,6,9,10,26,36,8,4,3,16,16,32,10,11,1,13,"2019 - 2020",""
"2020-01-24","HOB-CLK","HOB","Hobart","",77,29,49,9,21,10,15,5,38,43,14,4,2,18,23,40,11,6,5,27,"2019 - 2020",1
"2020-01-24","HOB-CLK","CLK","Clarkson",1,64,24,66,5,28,11,19,8,18,26,13,11,1,16,9,38,14,3,4,31,"2019 - 2020",""
"2020-01-25","HOB-SLU","HOB","Hobart","",93,34,55,10,19,15,23,8,27,35,28,5,4,23,16,48,17,14,12,25,"2019 - 2020",1
"2020-01-25","HOB-SLU","SLU","St. Lawrence",1,77,22,55,7,21,26,33,6,15,21,12,5,1,21,12,28,20,10,9,25,"2019 - 2020",""
"2020-01-31","ITH-HOB","ITH","Ithaca","",77,31,77,9,32,6,9,12,20,32,15,10,2,17,4,26,23,19,4,15,"2019 - 2020",""
"2020-01-31","ITH-HOB","HOB","Hobart",1,78,31,68,6,20,10,14,17,36,53,12,2,5,8,16,44,8,19,4,11,"2019 - 2020",1
"2020-02-01","RIT-HOB","RIT","RIT","",62,22,62,7,27,11,13,11,14,25,8,13,1,23,11,20,25,10,6,19,"2019 - 2020",""
"2020-02-01","RIT-HOB","HOB","Hobart",1,69,21,45,5,20,22,26,13,28,41,7,5,4,16,25,30,18,13,0,14,"2019 - 2020",1
"2020-02-07","SLU-HOB","SLU","St. Lawrence","",52,21,54,3,13,7,8,9,23,32,12,7,4,11,17,36,12,8,2,4,"2019 - 2020",""
"2020-02-07","SLU-HOB","HOB","Hobart",1,66,25,60,12,34,4,8,13,25,38,17,11,4,14,14,24,21,12,7,15,"2019 - 2020",1
"2020-02-08","CLK-HOB","CLK","Clarkson","",68,24,64,7,17,13,18,7,28,35,9,3,4,17,7,30,2,8,2,23,"2019 - 2020",""
"2020-02-08","CLK-HOB","HOB","Hobart",1,77,29,68,4,17,15,18,12,35,47,14,4,3,16,7,50,4,16,6,13,"2019 - 2020",1
"2020-02-14","HOB-RPI","HOB","Hobart","",54,19,47,5,20,11,15,11,31,42,9,3,3,23,18,24,2,4,6,4,"2019 - 2020",""
"2020-02-14","HOB-RPI","RPI","Rensselaer",1,58,20,59,2,17,16,21,10,20,30,5,12,1,17,4,26,22,4,5,5,"2019 - 2020",1
"2020-02-15","HOB-VAS","VAS","Vassar",1,51,19,59,5,18,8,12,8,21,29,8,7,3,12,8,28,13,9,2,35,"2019 - 2020",""
"2020-02-15","HOB-VAS","HOB","Hobart","",64,24,56,8,17,8,9,12,34,46,13,6,4,14,17,28,0,12,4,9,"2019 - 2020",1
"2020-02-21","BRD-HOB","BRD","Bard","",58,23,55,10,26,2,8,3,23,26,11,6,2,18,15,24,17,2,2,12,"2019 - 2020",""
"2020-02-21","BRD-HOB","HOB","Hobart",1,88,34,67,8,26,12,18,14,31,45,22,7,2,15,11,48,21,14,8,46,"2019 - 2020",1
"2020-02-22","SKD-HOB","SKD","Skidmore","",67,25,57,4,20,13,20,9,27,36,11,6,1,19,13,26,13,11,0,21,"2019 - 2020",""
"2020-02-22","SKD-HOB","HOB","Hobart",1,93,34,65,18,33,7,12,8,25,33,24,5,2,20,14,30,17,6,8,28,"2019 - 2020",1
"2020-02-29","ITH-HOB","ITH","Ithaca","",80,24,70,15,38,17,21,12,25,37,13,9,3,18,7,12,19,11,17,4,"2019 - 2020",1
"2020-02-29","ITH-HOB","HOB","Hobart",1,72,28,64,2,19,14,22,14,37,51,10,2,5,20,15,42,8,16,11,6,"2019 - 2020",""
"2020-03-06","USJ-HOB","USJ","Saint Joseph (CT)","",74,23,62,4,17,24,31,12,19,31,3,10,1,27,11,36,25,12,23,20,"2019 - 2020",""
"2020-03-06","USJ-HOB","HOB","Hobart",1,78,20,50,11,29,27,33,11,31,42,9,3,3,26,23,16,5,12,15,18,"2019 - 2020",1
"2020-03-07","HOB-SPR","HOB","Hobart","",62,22,50,5,14,13,16,12,25,37,8,2,3,17,14,34,5,6,6,8,"2019 - 2020",1
"2020-03-07","HOB-SPR","SPR","Springfield",1,61,24,58,4,21,9,11,9,18,27,9,5,8,14,7,30,18,8,8,6,"2019 - 2020",""
"2021-11-06","HOB-KEU","HOB","Hobart","",121,50,73,7,15,14,25,14,48,62,28,5,4,22,26,84,14,19,25,54,"2021 - 2022",1
"2021-11-06","HOB-KEU","KEU","Keuka",1,89,29,95,17,61,14,17,20,14,34,17,15,2,25,12,18,17,19,17,44,"2021 - 2022",""
"2021-11-12","SPL-HOB","SPL","SUNY Poly","",48,16,44,1,3,15,27,4,27,31,6,8,3,13,17,16,21,3,6,4,"2021 - 2022",""
"2021-11-12","SPL-HOB","HOB","Hobart",1,65,25,60,7,26,8,13,10,32,42,16,9,1,20,14,16,25,8,14,11,"2021 - 2022",1
