"game_date","game_id","team_id","player_name","jersey_number","position","fgm","fga","fgm3","fga3","ftm","fta","tp","oreb","dreb","treb","ast","stl","blk","pf","turnovers","minutes","season"
"2019-11-19","HOB-BRO","HOB","Fleurizard,Edens","1","F",4,5,0,0,0,2,8,2,6,8,2,0,1,4,4,17,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Walsh,Matt","2","F",2,6,1,4,0,0,5,0,1,1,1,1,0,0,0,15,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Lescoe,Tucker","4","G",7,15,3,9,1,3,18,0,0,0,2,1,0,1,1,36,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Corrales Marco,David","5","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Lynch,Andrew","10","G",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Walker,Patrick","11","G",2,3,0,1,4,6,8,1,1,2,5,1,1,3,4,26,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Owenby,Chandler","13","F",0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Cook,Daniel","14","F",3,6,1,2,2,2,9,1,3,4,0,1,0,4,4,25,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Masino,Dan","20","G",8,15,1,2,1,4,18,1,3,4,5,1,0,3,2,33,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Dow,Trevor","21","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Preston,Jake","23","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Meshanic,Jackson","25","F",2,3,0,0,0,0,4,1,4,5,0,2,0,2,2,13,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Lesure,Jack","30","G",2,4,0,2,0,1,4,3,2,5,1,1,0,4,3,24,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Rivera-Torres,Nic","51","F",0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,2,"2019 - 2020"
"2019-11-19","HOB-BRO","HOB","Team","TM","",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Ashley,Danny","1","G",3,6,0,1,0,4,6,1,3,4,2,2,1,3,1,21,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Collins,Tyler","2","G",1,4,0,2,2,2,4,1,0,1,3,4,0,4,6,23,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Townsend,Darius","3","G",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Jones,Davonte","10","G",1,2,0,0,2,2,4,1,2,3,1,1,0,0,1,11,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Sullivan,Tyler","11","G",4,9,2,5,0,0,10,2,0,2,0,1,0,0,2,26,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Kennedy-Gay,Brandon","12","G",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Merriweather,Xavier","15","G",1,3,0,1,2,2,4,2,1,3,1,1,0,1,1,18,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Sylla,Malick","20","G",4,7,0,2,2,2,10,1,1,2,0,2,0,2,0,18,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Grimsley,Tyree","21","F",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Stroman,Monte","22","G",0,2,0,1,0,0,0,3,1,4,0,0,0,1,1,15,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Summers,Justin","23","F",9,18,0,2,5,5,23,3,7,10,2,1,1,3,2,31,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Wallace,Jahidi","25","G",2,7,0,1,10,11,14,0,3,3,0,1,0,3,3,28,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Fish,Jared","42","F",0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,4,"2019 - 2020"
"2019-11-19","HOB-BRO","BRO","Team","TM","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Snyder,Jake","1","G",3,4,1,1,0,0,7,2,2,4,2,0,0,2,1,20,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Albert,Samson","2","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Quiring,Michael","3","G",5,12,3,7,1,2,14,0,2,2,1,1,0,1,0,27,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Mazzeo,Anthony","10","G",3,5,0,1,1,2,7,2,1,3,0,0,0,3,0,15,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Dimitrijevs,Matt","11","G",2,14,2,11,1,2,7,2,1,3,0,1,0,1,1,14,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Cebula,Zach","14","G",1,7,1,6,2,2,5,0,0,0,1,2,0,2,1,29,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Massa,Troy","15","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Newman,Logan","20","G",1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Schaefer,Luke","22","G",0,3,0,1,0,0,0,0,0,0,1,0,0,2,2,16,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Nahra,Alex","23","F",0,2,0,1,0,0,0,0,3,3,1,0,0,1,0,14,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Colombo,Tyler","24","F",2,7,1,5,2,4,7,3,4,7,1,1,1,0,1,30,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Lostoski,Jack","30","F",1,5,1,4,0,0,3,0,1,1,0,1,1,2,0,12,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Farren,Quinton","32","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Elbin,Jake","34","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Sova,Drew","44","F",1,2,0,0,2,2,4,2,5,7,1,0,0,3,5,23,"2019 - 2020"
"2019-11-22","BW-HOB","BW","Team","TM","",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Fleurizard,Edens","1","F",2,2,0,0,2,6,6,3,5,8,1,1,0,4,2,26,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Walsh,Matt","2","F",2,3,1,2,1,2,6,0,0,0,0,0,0,1,1,10,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Lescoe,Tucker","4","G",3,8,2,6,0,0,8,0,4,4,2,1,0,1,2,34,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Corrales Marco,David","5","G",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Lynch,Andrew","10","G",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Walker,Patrick","11","G",1,2,0,1,2,2,4,0,2,2,3,0,0,2,2,15,"2019 - 2020"
"2019-11-22","BW-HOB","HOB","Owenby,Chandler","13","F",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,"2019 - 2020"
